S.N.	Reference No.	Name	Acc. No.	Valid From	Valid Upto	Remarks
33	H-2006-0025	Fortis Flt. Lt. Rajan Dhall Hospital, New Delhi, Delhi, India	H-2009-0035	09 Jun 2022	08 Jun 2026	Renewed on 5th Edition
34	H-2006-0004	Kasturba Hospital, Manipal, Karnataka, India	H-2009-0036	21 Jun 2025	20 Jun 2029	Renewed on 5th Edition
35	H-2008-0064	General Hospital, Gandhinagar, Gujarat, India	H-2009-0037	14 Sep 2012	13 Sep 2015	Application Closed
36	H-2006-0026	Fortis Hospitals Limited, Neelam Bata Road, NIT, Faridabad, Haryana, India	H-2009-0038	14 Sep 2025	13 Sep 2029	Renewed on 5th Edition
37	H-2009-0123	Ruby Hall Clinic, Pune, Maharashtra, India	H-2009-0039	05 Nov 2021	04 Nov 2025	Renewed on 5th Edition
38	H-2008-0085	Sterling Hospitals, Vadodara, Gujarat, India	H-2009-0040	10 Dec 2021	09 Dec 2025	Renewed on 5th Edition
39	H-2009-0117	Artemis Health Institute (A Unit of Artemis Medicare Services Ltd.), Gurgaon, Haryana, India	H-2010-0041	16 Feb 2022	15 Feb 2026	Renewed on 5th Edition
40	H-2008-0065	Sparsh Hospital for Accidents Orthopedics, Plastic & Maxillo Facial Surgery, Bangalore, Karnataka, India	H-2010-0042	16 Feb 2022	15 Feb 2026	Forced Withdrawal of Accreditation w.e.f. 10th October 2024
41	H-2008-0086	Apollo Speciality Hospital, Chennai, Tamil Nadu, India	H-2010-0043	16 Feb 2022	15 Feb 2026	Renewed on 5th Edition
42	H-2009-0184	Shalby Hospitals, Ahmedabad, Gujarat, India	H-2010-0044	03 Mar 2022	02 Mar 2026	Renewed on 5th Edition
43	H-2008-0079	Fortis Hospitals Ltd. , Kalyan, Maharashtra, India	H-2010-0046	20 May 2022	19 May 2026	Renewed on 5th Edition
44	H-2009-0122	Wockhardt Hospitals Ltd., Nasik, Maharashtra, India	H-2010-0047	20 May 2022	19 May 2026	Voluntary Withdrawal w.e.f 30th April 2023
45	H-2006-0005	Rockland Hospital, Qutub Institutional Area, New Delhi, Delhi, India	H-2010-0048	07 Mar 2017	06 Mar 2020	Not Recommended for Renewal of accreditation
46	H-2009-0196	K.G. Hospital, Coimbatore, Tamil Nadu, India	H-2010-0049	24 Feb 2026	23 Feb 2030	Renewed on 6th Edition
47	H-2009-0358	Holy Spirit Hospital, Mumbai, Maharashtra, India	H-2010-0050	20 Jul 2022	19 Jul 2026	Renewed on 5th Edition
48	H-2007-0035	Batra Hospital & Medical Research Centre, New Delhi, Delhi, India	H-2010-0051	05 Aug 2022	04 Aug 2026	Renewed on 5th Edition
49	H-2008-0087	PSG Hospitals, Coimbatore, Tamil Nadu, India	H-2010-0052	09 Sep 2022	08 Sep 2026	Renewed on 5th Edition
50	H-2009-0176	Frontier Lifeline Hospital, Chennai, Tamil Nadu, India	H-2010-0053	09 Sep 2022	08 Sep 2026	Renewed on 5th Edition
51	H-2009-0133	Dr B.L. Kapur Memorial Hospital, New Delhi, Delhi, India	H-2010-0054	09 Sep 2022	08 Sep 2026	Renewed on 5th Edition
52	H-2009-0304	Gleneagles HealthCity Chennai (A Unit of Gleneagles Healthcare India Private Limited) - (Earlier Certificate issued in the Name of Gleneagles Global Hospitals and Health City), Chennai, Tamil Nadu, India	H-2010-0055	27 Oct 2022	26 Oct 2026	Renewed on 5th Edition
53	H-2009-0182	Yashoda Super Speciality Hospital, Kaushambi, Ghaziabad, Uttar Pradesh, India	H-2010-0056	27 Oct 2022	26 Oct 2026	Renewed on 5th Edition
54	H-2009-0134	Jeewan Nursing Home & Hospital, Pusa Road, New Delhi, Delhi, India	H-2010-0057	27 Oct 2022	26 Oct 2026	Renewed on 5th Edition
55	H-2009-0125	Max Super Specialty Hospital, Vaisali, Ghaziabad, Uttar Pradesh, India	H-2010-0058	29 Oct 2022	28 Oct 2026	Renewed on 5th Edition
56	H-2007-0043	Yashoda Hospital, Secunderabad, Andhra Pradesh, India	H-2010-0059	09 Dec 2022	08 Dec 2026	Renewed on 5th Edition
57	H-2009-0355	Holy Family Hospital, Mumbai, Maharashtra, India	H-2010-0060	27 Oct 2022	26 Oct 2026	Renewed on 5th Edition
58	H-2008-0083	Primus Super Speciality Hospital , New Delhi, Delhi, India	H-2010-0061	06 Dec 2022	05 Dec 2026	Renewed on 5th Edition
59	H-2009-0112	Max Hospital, Gurgaon, Haryana, India	H-2010-0062	24 Nov 2022	23 Nov 2026	Renewed on 5th Edition
60	H-2008-0074	Vijaya Medical & Educational Trust , Chennai, Tamil Nadu, India	H-2011-0064	09 Jun 2022	08 Jun 2026	Renewed on 5th Edition
61	H-2009-0327	General Hospital, Ernakulam, Kerala, India	H-2011-0065	28 Jan 2017	27 Jan 2020	Moved to SHCO
62	H-2010-0386	Lilavati Hospital and Research Centre, Mumbai, Maharashtra, India	H-2011-0066	01 Feb 2023	31 Jan 2027	Renewed on 5th Edition
63	H-2009-0359	Apollo Hospitals International Limited, Gandhinagar, Gujarat, India	H-2011-0067	04 Feb 2017	03 Feb 2020	Moved to ECO
64	H-2009-0251	Max Super Specialty Hospital, Patparganj (Run by Balaji Medical and Diagnostic Research Center) , New Delhi, Delhi, India	H-2011-0068	04 Feb 2023	03 Feb 2027	Renewed on 5th Edition
65	H-2009-0139	Metro Hospital & Heart Institute, Sec. 11 and 12 , Noida, Uttar Pradesh, India	H-2011-0069	23 Feb 2023	22 Feb 2027	Renewed on 5th Edition
66	H-2007-0042	Delhi Heart and Lung Institute, New Delhi, Delhi, India	H-2011-0070	23 Feb 2023	22 Feb 2027	Renewed on 5th Edition
67	H-2008-0090	Mehta Childern’s Hospitals Pvt. Ltd., Chennai, Tamil Nadu, India	H-2011-0071	27 Sep 2016	26 Sep 2019	Application Closed
68	H-2009-0322	Manipal Hospital, Gurgaon, Haryana, India	H-2011-0072	23 Mar 2023	22 Mar 2027	Renewed on 5th Edition
69	H-2010-0396	Medanta – The Medicity , Gurgaon, Haryana, India	H-2011-0073	23 Mar 2023	22 Mar 2027	Renewed on 5th Edition
70	H-2009-0159	Metro Hospital & Cancer Institute, Preet Vihar , New Delhi, Delhi, India	H-2011-0074	16 Apr 2023	15 Apr 2027	Renewed on 5th Edition
71	H-2009-0108	District Govt. Head Quarters Hospital , Namakkal, Tamil Nadu, India	H-2011-0075	25 Apr 2014	24 Apr 2017	Moved to SHCO
72	H-2009-0276	Rainbow Children's Medicare Pvt. Ltd. , Hyderabad, Telangana, India	H-2011-0076	10 Jun 2024	09 Jun 2028	Renewed on 5th Edition
73	H-2009-0323	Manipal Hospitals Private Limited , Bangalore, Karnataka, India	H-2011-0077	10 Jun 2023	09 Jun 2027	Renewed on 5th Edition
74	H-2009-0275	Star Hospitals, Hyderabad, Telangana, India	H-2011-0078	10 Jun 2024	09 Jun 2028	Renewed on 5th Edition
75	H-2009-0350	Fortis Escorts Hospital , Amritsar, Punjab, India	H-2011-0079	10 Jun 2023	09 Jun 2027	Renewed on 5th Edition
76	H-2010-0376	V.G.M. Hospital , Coimbatore, Tamil Nadu, India	H-2011-0080	27 Oct 2025	26 Oct 2029	Renewed on 5th Edition
77	H-2009-0260	L.V. Prasad Eye Institute , Hyderabad, Telangana, India	H-2011-0081	10 Jun 2017	09 Jun 2020	Shifted to ECO
78	H-2007-0048	Fortis Health Management Ltd.,Nagarabhavi , Bangalore, Karnataka, India	H-2011-0082	10 Jun 2024	09 Jun 2028	Renewed on 5th Edition
79	H-2009-0214	Indraprastha Medical Corporation Ltd., Noida, Uttar Pradesh, India	H-2011-0083	10 Jun 2023	09 Jun 2027	Renewed on 5th Edition
80	H-2010-0457	Aster MIMS Hospital, Kottakkal, Kerala, India	H-2011-0084	10 Jun 2024	09 Jun 2028	Renewed on 5th Edition
81	H-2010-0403	Mazumdar Shaw Medical Centre (Unit of Narayana Hrudayalaya Pvt. Ltd.), Bangalore, Karnataka, India	H-2011-0085	10 Jun 2024	09 Jun 2028	Renewed on 5th Edition
82	H-2009-0164	Yashoda Healthcare Services Limited, Malakpet - (Earlier Certificate issued in the Name of Yashoda Super Speciality Hospitall), Hyderabad, Telangana, India	H-2011-0086	10 Jun 2023	09 Jun 2027	Renewed on 5th Edition
83	H-2010-0379	Sarvodaya Hospital & Research Centre , Faridabad, Haryana, India	H-2011-0087	20 Jun 2023	19 Jun 2027	Renewed on 5th Edition
84	H-2011-0487	Asian Institute of Medical Sciences (A Unit of Blue Sapphire Healthcares Pvt. Ltd.), Faridabad, Haryana, India	H-2011-0088	24 Jun 2023	23 Jun 2027	Renewed on 5th Edition
85	H-2009-0333	Dr. Balabhai Nanavati Hospital , Mumbai, Maharashtra, India	H-2011-0089	02 Dec 2021	01 Dec 2025	Renewed on 5th Edition
86	H-2009-0307	Desun Hospital & Heart Institute (A Unit of P. N. Memorial Neurocentre & Research Institute Ltd.), Kolkata, West Bengal, India	H-2011-0090	27 Jun 2023	26 Jun 2027	Renewed on 5th Edition
87	H-2009-0191	Jeewan Mala Hospital Pvt. Ltd. , New Delhi, Delhi, India	H-2011-0091	07 Jul 2023	06 Jul 2027	Renewed on 5th Edition
88	H-2010-0388	Mallya Hospital, Bangalore, Karnataka, India	H-2011-0092	18 Jul 2017	17 Jul 2020	Accreditation Expired - Application Closed
89	H-2009-0116	Ganga Care Hospital Ltd. (Care Hospital), Nagpur, Maharashtra, India	H-2011-0093	18 Jul 2024	17 Jul 2028	Renewed on 5th Edition
90	H-2010-0397	Bangalore Baptist Hospital, Bangalore, Karnataka, India	H-2011-0095	29 Jul 2023	28 Jul 2027	Renewed on 5th Edition
91	H-2009-0257	Krishna Institute of Medical Sciences Ltd., Secunderabad, Andhra Pradesh, India	H-2011-0096	29 Jul 2023	28 Jul 2027	Renewed on 5th Edition
92	H-2009-0128	Park Hospital, New Delhi, Delhi, India	H-2011-0097	03 Jul 2022	02 Jul 2026	Renewed on 5th Edition
93	H-2009-0190	Care Hospital (A Unit of Quality Care India Ltd.) - (Earlier Certificate issued in the name of CARE Hospital), Hyderabad, Telangana, India	H-2011-0099	11 Aug 2024	10 Aug 2028	Renewed on 5th Edition
94	H-2009-0144	National Heart Institute, New Delhi, Delhi, India	H-2011-0100	12 Aug 2023	11 Aug 2027	Renewed on 5th Edition
95	H-2010-0464	Baroda Heart Institute & Research Centre, Vadodara, Gujarat, India	H-2011-0101	17 Aug 2014	16 Aug 2017	Transfer to SHCO
96	H-2009-0365	Sahyadri Super Speciality Hospital, Pune, Maharashtra, India	H-2011-0102	26 Aug 2023	25 Aug 2027	Renewed on 5th Edition
97	H-2010-0415	Bankers Heart Institute, Vadodara, Gujarat, India	H-2011-0103	29 Aug 2024	28 Aug 2028	Renewed on 5th Edition
98	H-2006-0017	Rabindranath Tagore International Institute of Cardiac Sciences (Unit of Narayana Hrudayalaya Ltd.), Kolkata, West Bengal, India	H-2011-0104	01 Sep 2024	31 Aug 2028	Renewed on 5th Edition
99	H-2009-0155	Sri Balaji Action Medical Institute, New Delhi, Delhi, India	H-2011-0105	03 Oct 2023	02 Oct 2027	Renewed on 5th Edition
100	H-2009-0119	Medical Trust Hospital, Kochi, Kerala, India	H-2011-0106	03 Oct 2024	02 Oct 2028	Renewed on 5th Edition
101	H-2009-0131	Vikram Hospital Private Ltd., Mysore, Karnataka, India	H-2011-0107	03 Oct 2014	02 Oct 2017	Application Closed
102	H-2009-0160	CARE Hospital, Surat, Gujarat, India	H-2011-0108	03 Aug 2011	02 Aug 2014	Application Closed
103	H-2009-0302	Apollo Hospitals, Secunderabad, Andhra Pradesh, India	H-2011-0109	03 Oct 2023	02 Oct 2027	Renewed on 5th Edition
104	H-2009-0143	Metro Hospital & Heart Institute, Lajpat Nagar, New Delhi, Delhi, India	H-2011-0110	03 Oct 2017	02 Oct 2020	Application Closed
105	H-2009-0141	RLKC Hospital- Metro Heart Institute, New Delhi, Delhi, India	H-2011-0111	03 Oct 2024	02 Oct 2028	Renewed on 5th Edition
106	H-2009-0209	Care Hospitals (Quality Care India Limited), Visakhapatnam, Andhra Pradesh, India	H-2011-0112	28 Oct 2024	27 Oct 2028	Renewed on 5th Edition
107	H-2010-0378	Hospital for Mental Health, Vadodara, Gujarat, India	H-2011-0113	02 Nov 2011	01 Nov 2014	Moved to SHCO
108	H-2010-0454	Jupiter Hospital, Thane, Maharashtra, India	H-2011-0114	08 Nov 2024	07 Nov 2028	Renewed on 5th Edition
109	H-2009-0227	Manipal Hospital Private Limited, Jaipur, Rajasthan, India	H-2011-0115	09 Nov 2024	08 Nov 2028	Renewed on 5th Edition
110	H-2009-0104	Government. Hospital, Sholingur, Tamil Nadu, India	H-2011-0116	02 Nov 2011	01 Nov 2014	Application Closed
111	H-2009-0192	Sun Medical & Research Centre , Trichur, Kerala, India	H-2011-0117	16 Nov 2017	15 Nov 2020	Not Recommended for Renewal of accreditation
112	H-2010-0375	Nidhi Hospital, Ahmedabad, Gujarat, India	H-2011-0118	24 Sep 2022	23 Sep 2026	Renewed on 5th Edition
113	H-2009-0118	Livasa Hospital (A Unit of Careivy Hospitals Private Limited) - (Earlier Certificate issued in the Name of Ivy Hospital Mohali (A Unit of Ivy Health & Life Sciences Pvt. Ltd.) and Livasa Hospital (A Unit of Ivy Health and Life Sciences Private Limited)), Mohali, Punjab, India	H-2011-0119	12 Dec 2023	11 Dec 2027	Renewed on 5th Edition
114	H-2009-0140	Metro Hospital & Heart Institute, Meerut, Uttar Pradesh, India	H-2012-0120	02 Jan 2025	01 Jan 2029	Renewed on 5th Edition
115	H-2010-0468	Institute of liver & Biliary Sciences, Vasant Kunj, New Delhi, Delhi, India	H-2012-0121	05 Jan 2023	04 Jan 2027	Renewed on 5th Edition
116	H-2007-0044	Indian Spinal Injuries Centre, New Delhi, Delhi, India	H-2012-0122	16 Jan 2025	15 Jan 2029	Renewed on 5th Edition
117	H-2009-0096	Institute of Human Behaviour & Allied Sciences (IHBAS), New Delhi, Delhi, India	H-2012-0123	03 Feb 2015	02 Feb 2018	Not Recommended for Renewal of accreditation
118	H-2010-0430	Medical Research Foundation - Sankara Nethralaya , Chennai, Tamil Nadu, India	H-2012-0124	20 Dec 2018	19 Dec 2021	Shifted to ECO
119	H-2009-0099	Narayana Nethralaya (NN1), Bangalore, Karnataka, India	H-2012-0125	03 Feb 2015	02 Feb 2018	Application Closed
120	H-2009-0173	Apex Hospitals Pvt. Ltd., Jaipur, Rajasthan, India	H-2012-0126	03 Feb 2025	02 Feb 2029	Renewed on 5th Edition
121	H-2009-0120	Kamineni Hospitals Pvt Ltd, Hyderabad, Telangana, India	H-2012-0127	03 Feb 2024	02 Feb 2028	Renewed on 5th Edition
122	H-2009-0132	Max Smart Super Speciality Hospital, New Delhi, Delhi, India	H-2012-0128	03 Feb 2024	02 Feb 2028	Renewed on 5th Edition
123	H-2010-0456	Omega Hospital, Hyderabad, Telangana, India	H-2012-0129	31 Mar 2022	30 Mar 2026	Renewed on 5th Edition
124	H-2011-0472	Fortis Hospital, Bannerghatta Road, Bangalore, Karnataka, India	H-2012-0130	16 Apr 2025	15 Apr 2029	Renewed on 5th Edition
125	H-2008-0066	Healthcare Global Enterprises Ltd, Bangalore, Karnataka, India	H-2012-0131	12 May 2025	11 May 2029	Renewed on 5th Edition
126	H-2009-0154	Khandelwal Hospital & Urology Centre, New Delhi, Delhi, India	H-2012-0132	03 Jul 2016	02 Jul 2019	Accredition expired Not undergone renewal Asessment
127	H-2009-0287	Aster Prime Hospitals, Hyderabad, Telangana, India	H-2012-0133	21 May 2025	20 May 2029	Renewed on 5th Edition
128	H-2009-0114	Guru Nanak Care Hospital, Hyderabad, Telangana, India	H-2012-0134	21 May 2025	20 May 2029	Renewed on 5th Edition
129	H-2011-0539	GEM Hospital & Research Centre Private Ltd., Coimbatore, Tamil Nadu, India	H-2012-0135	09 Jun 2022	08 Jun 2026	Renewed on 5th Edition
130	H-2009-0248	Bhandari Hospital & Research Centre, Jaipur, Rajasthan, India	H-2012-0136	21 May 2025	20 May 2029	Renewed on 5th Edition
131	H-2008-0076	Kovai Medical Centre and Hospitals, Coimbatore, Tamil Nadu, India	H-2012-0137	01 Jun 2025	31 May 2029	Renewed on 5th Edition
132	H-2009-0297	Rajiv Gandhi Cancer Institute & Research Centre, New Delhi, Delhi, India	H-2012-0138	14 Jun 2025	13 Jun 2029	Renewed on 5th Edition
133	H-2009-0186	Yashoda Super Speciality Hospital, Nehru Nagar, Ghaziabad, Uttar Pradesh, India	H-2012-0139	14 Jun 2025	13 Jun 2029	Renewed on 5th Edition
134	H-2011-0475	GBH - American Hospital, Udaipur, Rajasthan, India	H-2012-0140	21 Jun 2025	20 Jun 2029	Renewed on 5th Edition
135	H-2009-0165	Yashoda Healthcare Services Limited, Somajiguda - (Earlier Certificate issued in the Name of Yashoda Super Specaility Hospital), Hyderabad, Telangana, India	H-2012-0141	01 Aug 2022	31 Jul 2026	Renewed on 5th Edition
136	H-2011-0510	Fortis Hospital, Shalimar Bagh, New Delhi, Delhi, India	H-2012-0142	28 Jun 2025	27 Jun 2029	Renewed on 5th Edition
137	H-2009-0157	Metro Heart Institute with Multispeciality, Faridabad, Haryana, India	H-2012-0143	03 Jul 2025	02 Jul 2029	Renewed on 5th Edition
138	H-2009-0147	Regency Hospital Ltd., Kanpur, Uttar Pradesh, India	H-2012-0145	24 Aug 2025	23 Aug 2029	Renewed on 6th Edition
139	H-2009-0263	Usha Mullapudi Cardiac Centre, Hyderabad, Telangana, India	H-2012-0146	13 Jan 2023	12 Jan 2027	Renewed on 5th Edition
140	H-2009-0289	Ramaiah Memorial Hospital, Bangalore, Karnataka, India	H-2012-0147	14 Sep 2025	13 Sep 2029	Renewed on 5th Edition
141	H-2009-0167	Aditya Care Hospital, Bhubneshwar, Orissa, India	H-2012-0148	14 Sep 2015	13 Sep 2018	Moved to SHCO
142	H-2009-0294	Pushpawati Singhania Research Institute for Liver, Renal & Digestive Diseases, New Delhi, Delhi, India	H-2012-0150	14 Sep 2025	13 Sep 2029	Renewed on 5th Edition
143	H-2011-0484	Grecian Super Specialty Hospital (A Unit of RGS Healthcare Ltd.), Mohali, Punjab, India	H-2012-0151	14 Sep 2025	13 Sep 2029	Renewed on 5th Edition
144	H-2009-0328	Govt. Women & Children's Hospital, Thiruvananthapuram, Kerala, India	H-2012-0152	14 Sep 2012	13 Sep 2015	Application Closed
145	H-2011-0486	Action Cancer Hospital, New Delhi, Delhi, India	H-2012-0153	14 Sep 2025	13 Sep 2029	Renewed on 6th Edition
146	H-2010-0404	Sunshine Hospitals, Secunderabad, Andhra Pradesh, India	H-2012-0155	19 Sep 2015	18 Sep 2018	Application Closed
147	H-2009-0222	N.M. Wadia Institite of Cardiology, Pune, Maharashtra, India	H-2012-0156	20 Sep 2025	19 Sep 2029	Renewed on 6th Edition
148	H-2009-0326	Taluk Head Quarters Hospital, Alappuzha, Kerala, India	H-2012-0157	27 Sep 2012	26 Sep 2015	Application Closed
149	H-2010-0435	Nagarjuna Hospital, Vijayawada, Andhra Pradesh, India	H-2012-0158	27 Sep 2025	26 Sep 2029	Renewed on 5th Edition
150	H-2011-0515	Sree Renga Hospital, Chengalpet, Tamil Nadu, India	H-2012-0159	08 Oct 2015	07 Oct 2018	Moved to SHCO
151	H-2009-0317	Lotus Hospitals for Women & Children, Hyderabad, Telangana, India	H-2012-0160	03 Nov 2022	02 Nov 2026	Voluntary Withdrawal w.e.f. 8th January 2025
152	H-2009-0180	Ramkrishna Care Hospital, Raipur, Chattisgarh, India	H-2012-0161	23 Nov 2025	22 Nov 2029	Renewed on 6th Edition
153	H-2008-0077	Ganga Medical Centre and Hospitals Pvt Ltd, Coimbatore, Tamil Nadu, India	H-2012-0162	27 Jul 2022	26 Jul 2026	Renewed on 5th Edition
154	H-2011-0571	Manipal Hospital, Mysore, Karnataka, India	H-2012-0163	23 Nov 2025	22 Nov 2029	Renewed on 5th Edition
155	H-2011-0540	Sri Ramachandra Medical Centre, Chennai, Tamil Nadu, India	H-2012-0164	05 Dec 2021	04 Dec 2025	Renewed on 5th Edition
156	H-2010-0449	Nirmal Hospital Pvt. Ltd., Surat, Gujarat, India	H-2012-0165	26 Dec 2021	25 Dec 2025	Renewed on 5th Edition
157	H-2011-0564	Care Institute of Medical Sciences (CIMS), Ahmedabad, Gujarat, India	H-2013-0166	01 Feb 2022	31 Jan 2026	Renewed on 5th Edition
158	H-2011-0528	Manipal Hospitals EM Bypass (A Unit of Manipal Hospitals Eastern India Private Limited) - (Earlier Certificate issued in the Name of Medica Superspecialty Hospital), Kolkata, West Bengal, India	H-2013-0167	01 Feb 2022	31 Jan 2026	Renewed on 5th Edition
159	H-2011-0488	A.J. Hospital & Research Centre,, Mangalore, Karnataka, India	H-2013-0168	22 Apr 2025	21 Apr 2029	Renewed on 5th Edition
160	H-2011-0563	Aditya Birla Memorial Hospital, Pune, Maharashtra, India	H-2013-0169	01 Feb 2022	31 Jan 2026	Renewed on 5th Edition
161	H-2009-0305	Gleneagles Aware Hospital (A Unit of Gleneagles Healthcare India Pvt. Ltd.) - (Earlier Certificate issued in the Name of Aware Global Hospitals), Hyderabad, Telangana, India	H-2013-0171	01 Feb 2022	31 Jan 2026	Renewed on 5th Edition
162	H-2010-0433	Hiranandani Hospital (A fortis associate hospital), Mumbai, Maharashtra, India	H-2013-0172	05 Apr 2022	04 Apr 2026	Renewed on 5th Edition
163	H-2012-0587	Fortis Hospitals Limited, Kolkata, West Bengal, India	H-2013-0173	05 Apr 2022	04 Apr 2026	Renewed on 5th Edition
164	H-2008-0075	EMS Memorial Co-Operative Hospital & Research Centre, Perintalmanna, Kerala, India	H-2013-0174	11 Apr 2023	10 Apr 2027	Renewed on 5th Edition
165	H-2009-0278	Saroj Super Speciality Hospital , New Delhi, Delhi, India	H-2013-0175	05 Apr 2022	04 Apr 2026	Renewed on 5th Edition
166	H-2011-0499	Noble Hospital, Pune, Maharashtra, India	H-2013-0176	06 May 2022	05 May 2026	Renewed on 5th Edition
167	H-2012-0635	Max Super Specialty Hospital (A Unit of Max Healthcare Institute Limited) Shalimar Bagh, New Delhi, Delhi, India	H-2013-0177	08 May 2022	07 May 2026	
168	H-2011-0521	NU Hospitals Private Limited., Bangalore, Karnataka, India	H-2013-0179	10 May 2022	09 May 2026	Renewed on 5th Edition
169	H-2009-0299	Basavatarakam Indo-American Cancer Institute & Research Centre, Hyderabad, Telangana, India	H-2013-0180	23 May 2022	22 May 2026	Renewed on 5th Edition
170	H-2012-0618	Max Superspecility Hospital, Mohali, Punjab, India	H-2013-0181	28 May 2022	27 May 2026	Renewed on 5th Edition
