Sno	Hospital Id	Hospital Name	State	District	Hospital Contact	Specialities Selected	Hospital Type	Empanelment Type	Submitted Date	Status Updated Date	Application Status	OnBoarded For Convergence Scheme	Upgraded Specialities	Current Specialities
67	HOSP9G04554	District Hospital Pilibhit	UTTAR PRADESH	PILIBHIT	8005192735	"M2,S1,S2,S3,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M2, S1, S2, S3, S5"
68	HOSP9G04555	Community health centre choubeypur	UTTAR PRADESH	KANPUR NAGAR	9044888200	"M1,M7,M2,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S4"
69	HOSP9G04556	PHC Mandhata	UTTAR PRADESH	PRATAPGARH	8874463054	"M1,M7,S1,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S4"
70	HOSP9G04558	CHC KALYANPUR	UTTAR PRADESH	KANPUR NAGAR	8576017120	"M1,M7,M4,S3,S4,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M4, S3, S4, S5"
71	HOSP9G04563	CHC BAGHRAI	UTTAR PRADESH	PRATAPGARH	9621201802	"M1,M7,S1,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S4"
72	HOSP9G04566	CHC SARSAUL	UTTAR PRADESH	KANPUR NAGAR	9936015747	"M1,M7,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S4"
73	HOSP9G04570	DISTRICT WOMEN HOSPITAL	UTTAR PRADESH	PILIBHIT	9457532856	"M2,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M2, S4"
74	HOSP9G04578	DISTRICT WOMEN HOSPITAL	UTTAR PRADESH	AGRA	7906143757	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
75	HOSP9G04580	Community Health Center Sarila	UTTAR PRADESH	HAMIRPUR	6394966340	NA	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	-NA-
76	HOSP9G04582	CHC LALGANJ	UTTAR PRADESH	PRATAPGARH	9897337418	"M1,M7,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S4"
77	HOSP9G04589	CHC Belkharnath	UTTAR PRADESH	PRATAPGARH	7007533369	"M1,M7,S1,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S4"
78	HOSP9G04592	CHC MUSKARA	UTTAR PRADESH	HAMIRPUR	8765891805	NA	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	-NA-
79	HOSP9G04593	CHC Gaura	UTTAR PRADESH	PRATAPGARH	8004793342	"M1,M7,S1,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S5"
80	HOSP9G04595	chc sangramgarh	UTTAR PRADESH	PRATAPGARH	9455033307	"M1,M7,S1,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S4"
81	HOSP9G04603	chc raniganj	UTTAR PRADESH	PRATAPGARH	9621201802	"M1,M7,S1,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S4"
82	HOSP9G04606	CHC DADRI	UTTAR PRADESH	GAUTAM BUDDHA NAGAR	9258134647	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
83	HOSP9G04608	CHC AMARGARH	UTTAR PRADESH	PRATAPGARH	9621201802	"M1,M7,S1,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S4"
84	HOSP9G04612	Distt Hospital Male Hamirpur	UTTAR PRADESH	HAMIRPUR	8005192747	"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M8,S1,S10,S11,S12,S13,S14,S15,S16,S2,S3,S4,S5,S6,S7,S8,S9,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M2, S8, M7, S7, M3, M4, M5, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9"
85	HOSP9G04616	PHC BABAGANJ	UTTAR PRADESH	PRATAPGARH	8979886274	"M1,M7,S1,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S4"
86	HOSP9G04622	chc sangipur	UTTAR PRADESH	PRATAPGARH	8874463054	"M1,M7,S1,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S4"
87	HOSP9G04627	chc sandwa chandrika 	UTTAR PRADESH	PRATAPGARH	8400048188	"M1,M7,S1,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S4"
88	HOSP9G04629	CHC KURARA	UTTAR PRADESH	HAMIRPUR	7839729381	NA	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	-NA-
89	HOSP9G04635	DISTRICT HOSPITAL MALE KHERI	UTTAR PRADESH	KHERI	7317466362	"S1,S2,S3,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"S1, S2, S3, S5"
90	HOSP9G04636	CHC KOHUNDOUR	UTTAR PRADESH	PRATAPGARH	9450590131	"M1,M7,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S4"
91	HOSP9G04639	RBMS DISTRICT HOSPITAL RAEBARELI	UTTAR PRADESH	Raebareli	8005192796	"S16,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S16
92	HOSP9G04645	  PANDIT DEEN DAYAL UPADHYAY DISTRICT MALE  HOSPITAL MORADABAD	UTTAR PRADESH	MORADABAD	9412746101	"M1,M1,M7,M2,M8,S1,S2,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, M8, S1, S2, S5"
93	HOSP9G04646	CHC NAURANGA	UTTAR PRADESH	HAMIRPUR	7007029925	"M1,M7,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7"
94	HOSP9G04648	PHC LAXMANPUR	UTTAR PRADESH	PRATAPGARH	9451114873	"M1,M7,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S4"
95	HOSP9G04652	CHC SIRATHU	UTTAR PRADESH	KAUSHAMBI	8299818746	"M1,M7,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7"
96	HOSP9G04664	District Combined Hospital 	UTTAR PRADESH	Amethi	8736898467	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
97	HOSP9G04666	Community Health Centre BANGRA 	UTTAR PRADESH	JHANSI	9838363580	"M1,M7,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7"
98	HOSP9G04669	DISTRICT WOMEN HOSPITAL HAMIRPUR	UTTAR PRADESH	HAMIRPUR	8299450722	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
99	HOSP9G04690	chc kunda	UTTAR PRADESH	PRATAPGARH	8005193683	"M1,M7,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S4"
100	HOSP9G04700	CHC PATTI	UTTAR PRADESH	PRATAPGARH	9838834656	"M1,M7,S1,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S4"
101	HOSP9G04717	CHC SHAMLI	UTTAR PRADESH	SHAMLI	8923810100	"M1,M7,M2,S1,S16,S3,S4,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S1, S16, S3, S4, S5"
102	HOSP9G04765	DISTRICT MALE HOSPITAL HARDOI	UTTAR PRADESH	HARDOI	7217855792	"M2,S1,S16,S2,S3,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M2, S1, S16, S2, S3, S5"
103	HOSP9G04768	District  Women Hospital Deoria 	UTTAR PRADESH	DEORIA	9454455388	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
104	HOSP9G04771	CHC Bamaur	UTTAR PRADESH	JHANSI	7985677489	"M1,M7,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7"
105	HOSP9G04775	CHC BADAGAON	UTTAR PRADESH	JHANSI	9793312501	"M1,M7,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7"
106	HOSP9G04784	MANYAWAR KANSHIRAM JOINT HOSPITAL MALE LALITPUR 	UTTAR PRADESH	LALITPUR	8299232640	"M1,M7,S1,S16,S2,S3,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S16, S2, S3, S5"
107	HOSP9G04786	community health center moth	UTTAR PRADESH	JHANSI	6394653948	"S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S5
108	HOSP9G04803	CHC Chirgaon	UTTAR PRADESH	JHANSI	8853895993	"M1,M7,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7"
109	HOSP9G04804	Chc gursarai	UTTAR PRADESH	JHANSI	9651539028	"M1,M7,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7"
110	HOSP9G04805	Community Health Centre BABINA	UTTAR PRADESH	JHANSI	9936243555	"M1,M7,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7"
111	HOSP9G04807	District Female Hospital Hardoi	UTTAR PRADESH	HARDOI	7839317286	"M2,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M2, S4"
112	HOSP9G04817	Community Health center Mauranipur	UTTAR PRADESH	JHANSI	9621933664	"M1,M7,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7"
113	HOSP9G04821	CHC KANAILI 	UTTAR PRADESH	KAUSHAMBI	9369281380	"M1,M7,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7"
